Iteration,Loss
0,39310.9296875
1,1229146.25
2,120052.5078125
3,258018.59375
4,303371.40625
5,100336.3828125
6,32573.33984375
7,74055.859375
8,76882.65625
9,43133.62109375
10,20473.888671875
11,14414.6474609375
12,16682.92578125
13,19614.337890625
14,15389.18359375
15,10413.7919921875
16,5775.51025390625
17,4776.6728515625
18,5105.7841796875
19,6568.71875
20,6495.8759765625
21,5926.14501953125
22,4286.83935546875
23,3419.9638671875
24,1744.7633056640625
25,1244.7822265625
26,1462.3876953125
27,1628.21240234375
28,1917.6407470703125
29,1797.2064208984375
30,1475.8896484375
31,1181.713623046875
32,853.3160400390625
33,548.4935302734375
34,649.723388671875
35,662.802734375
36,608.3513793945312
37,737.7269287109375
38,591.5680541992188
39,558.94775390625
40,414.105224609375
41,344.19140625
42,286.22540283203125
43,270.82989501953125
44,258.4581298828125
45,176.21478271484375
46,193.75302124023438
47,195.93099975585938
48,204.62176513671875
49,211.11631774902344
50,142.79449462890625
51,142.97039794921875
52,127.46261596679688
53,57.64753723144531
54,76.056396484375
55,53.96726608276367
56,71.70672607421875
57,50.922760009765625
58,41.46013641357422
59,17.243356704711914
60,10.383212089538574
61,21.727535247802734
62,34.02135467529297
63,-19.787044525146484
64,-8.200267791748047
65,-21.651813507080078
66,-34.8953971862793
67,-41.64606475830078
68,-33.21615219116211
69,-54.886253356933594
70,-48.695159912109375
71,-39.48161315917969
72,-31.76634407043457
73,-65.884033203125
74,-58.77262496948242
75,-63.74778747558594
76,-65.69209289550781
77,-88.86181640625
78,-94.979248046875
79,-90.4622802734375
80,-76.43051147460938
81,-73.02365112304688
82,-87.17805480957031
83,-63.75152587890625
84,-101.4311752319336
85,-93.20626831054688
86,-123.67108917236328
87,-115.90217590332031
88,-110.91276550292969
89,-107.41914367675781
90,-108.31402587890625
91,-124.08384704589844
92,-114.95436096191406
93,-134.5889892578125
94,-134.22457885742188
95,-105.83395385742188
96,-125.1787109375
97,-126.0863037109375
98,-123.57123565673828
99,-140.02230834960938
100,-135.74560546875
101,-139.52044677734375
102,-137.6034393310547
103,-124.79012298583984
104,-152.83702087402344
105,-142.21327209472656
106,-151.49246215820312
107,-151.13870239257812
108,-144.16079711914062
109,-142.2274169921875
110,-167.97079467773438
111,-140.80174255371094
112,-163.59864807128906
113,-165.58111572265625
114,-152.16815185546875
115,-154.77728271484375
116,-151.6169891357422
117,-151.54432678222656
118,-181.18374633789062
119,-185.17086791992188
120,-171.73532104492188
121,-190.138671875
122,-169.5686492919922
123,-169.07211303710938
124,-188.98101806640625
125,-201.54800415039062
126,-186.75440979003906
127,-169.75071716308594
128,-170.0037841796875
129,-198.140869140625
130,-188.08433532714844
131,-196.3524932861328
132,-213.59677124023438
133,-222.95826721191406
134,-195.95849609375
135,-215.25543212890625
136,-202.99546813964844
137,-205.62289428710938
138,-209.67733764648438
139,-167.45370483398438
140,-212.93096923828125
141,-234.77322387695312
142,-196.94680786132812
143,-220.96920776367188
144,-203.7132110595703
145,-162.81353759765625
146,-210.1151123046875
147,-202.48388671875
148,-194.80799865722656
149,-236.98480224609375
150,-217.39370727539062
151,-183.56314086914062
152,-190.16964721679688
153,-229.09658813476562
154,-233.7158660888672
155,-219.60699462890625
156,-240.982177734375
157,-233.8246612548828
158,-227.64224243164062
159,-253.706787109375
160,-214.34063720703125
161,-225.33804321289062
162,-245.50892639160156
163,-236.30050659179688
164,-223.44676208496094
165,-220.21612548828125
166,-238.84556579589844
167,-228.8906707763672
168,-203.81710815429688
169,-251.857421875
170,-246.69277954101562
171,-245.07666015625
172,-267.7322998046875
173,-248.9084014892578
174,-219.1671600341797
175,-263.9806213378906
176,-262.48052978515625
177,-255.9131622314453
178,-263.2265625
179,-231.2962646484375
180,-234.97256469726562
181,-256.0944519042969
182,-257.46527099609375
183,-235.91888427734375
184,-244.1901397705078
185,-290.624267578125
186,-265.7890625
187,-238.50633239746094
188,-270.0663757324219
189,-281.6612854003906
190,-242.51797485351562
191,-266.7193908691406
192,-282.4623107910156
193,-269.7222900390625
194,-239.68991088867188
195,-288.5250244140625
196,-286.3681640625
197,-281.99847412109375
198,-266.19384765625
199,-292.74383544921875
200,-282.63836669921875
201,-291.51434326171875
202,-295.1518249511719
203,-283.24468994140625
204,-260.99169921875
205,-276.76025390625
